year_sbpro,inst_norm,nbc_norm,crossed_n,inst_name,is_unimagdalena,point_type,point_label,sb11_global_mean,sbpro_global_mean
2020,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTA D.C.,,350,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,false,other_university,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,262.9371428571429,140.84285714285716
2020,CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTA D.C.,,109,CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTÁ D.C.,false,other_university,CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTÁ D.C.,264.2201834862385,148.41284403669724
2020,CORPORACION UNIVERSITARIA DE SABANETA- UNISABANETA-SABANETA,,40,CORPORACION UNIVERSITARIA DE SABANETA- UNISABANETA-SABANETA,false,other_university,CORPORACION UNIVERSITARIA DE SABANETA- UNISABANETA-SABANETA,264.375,148.675
2020,FUNDACION UNIVERSITARIA MONSERRATE - UNIMONSERRATE-BOGOTA D.C.,,75,FUNDACION UNIVERSITARIA MONSERRATE - UNIMONSERRATE-BOGOTÁ D.C.,false,other_university,FUNDACION UNIVERSITARIA MONSERRATE - UNIMONSERRATE-BOGOTÁ D.C.,264.52,147.49333333333334
2020,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN,,40,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN,false,other_university,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN,264.675,143.475
2020,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,,268,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,false,other_university,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,264.72014925373134,137.27611940298507
2020,INSTITUTO UNIVERSITARIO DE LA PAZ-BARRANCABERMEJA,,144,INSTITUTO UNIVERSITARIO DE LA PAZ-BARRANCABERMEJA,false,other_university,INSTITUTO UNIVERSITARIO DE LA PAZ-BARRANCABERMEJA,264.78472222222223,141.61805555555554
2020,UNIVERSIDAD DE SAN BUENAVENTURA-CARTAGENA,,160,UNIVERSIDAD DE SAN BUENAVENTURA-CARTAGENA,false,other_university,UNIVERSIDAD DE SAN BUENAVENTURA-CARTAGENA,264.96875,143.1
2020,UNIVERSIDAD DE LA AMAZONIA-FLORENCIA,,308,UNIVERSIDAD DE LA AMAZONIA-FLORENCIA,false,other_university,UNIVERSIDAD DE LA AMAZONIA-FLORENCIA,266.2402597402597,142.55194805194805
2020,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTA D.C.,,1867,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,false,other_university,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,266.2410283877879,140.3679700053562
